datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,conditions
2018-01-01 08:00:00,35.2,30.1,32.5,28.3,25.2,26.8,24.5,68.0,0.0,0.0,0.0,,0.0,0.0,15.2,8.2,315.0,1015.2,45.0,10.0,125.5,1.2,2.0,Partly Cloudy
2018-01-01 09:00:00,36.5,31.2,33.5,29.5,26.1,27.8,25.2,65.0,0.0,0.0,0.0,,0.0,0.0,14.8,7.8,310.0,1015.5,40.0,10.0,185.3,1.8,3.0,Clear
2018-01-01 10:00:00,38.0,32.5,34.5,30.5,27.3,28.9,26.1,62.0,0.0,0.0,0.0,,0.0,0.0,14.5,7.5,305.0,1015.8,35.0,10.0,245.8,2.5,4.0,Partly Cloudy
2018-01-01 11:00:00,39.5,33.8,35.8,31.8,28.6,30.2,27.3,59.0,0.0,0.0,0.0,,0.0,0.0,14.2,7.3,300.0,1016.0,30.0,10.0,298.6,3.0,5.0,Clear
2018-01-01 12:00:00,41.2,35.0,37.2,33.2,29.9,31.6,28.5,56.0,0.0,0.0,0.0,,0.0,0.0,14.0,7.2,295.0,1016.2,25.0,10.0,342.5,3.4,5.0,Mostly Clear
2018-01-01 13:00:00,42.5,36.2,38.5,34.5,31.1,32.8,29.6,54.0,0.0,0.0,0.0,,0.0,0.0,13.8,7.1,290.0,1016.3,22.0,10.0,365.2,3.7,5.0,Clear
2018-01-01 14:00:00,43.8,37.5,39.8,35.8,32.4,34.1,30.8,52.0,0.0,0.0,0.0,,0.0,0.0,13.6,7.0,285.0,1016.5,20.0,10.0,358.9,3.6,5.0,Clear
2018-01-01 15:00:00,44.2,38.1,40.2,36.2,33.0,34.6,31.3,51.0,0.0,0.0,0.0,,0.0,0.0,13.5,6.9,280.0,1016.6,18.0,10.0,325.6,3.3,4.0,Clear
2018-01-01 16:00:00,43.5,37.8,39.5,35.5,32.6,34.1,30.9,52.0,0.0,0.0,0.0,,0.0,0.0,13.4,6.8,275.0,1016.8,20.0,10.0,265.8,2.7,3.0,Partly Cloudy
2018-01-01 17:00:00,42.0,36.5,38.0,34.0,31.3,32.7,29.8,55.0,0.0,0.0,0.0,,0.0,0.0,13.3,6.7,270.0,1017.0,25.0,10.0,185.2,1.9,2.0,Partly Cloudy
